next_stop_distance,total_waiting_time,wifi_count,honks,rsi,Signal,bus_stop,Turn,zone_highway,zone_market_place,zone_normal_city,time_level_1,time_level_2,time_level_3,time_level_4,Population_density_dense,Population_density_medium,Population_density_sparse,Weekend/day_Week-day,Weekend/day_Week-end,Congestion
45.1920833073,61,3,0,9.04093419903846,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
545.293300273,1,0,0,9.5463865,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
284.112590976,191,13,0,8.33490011217391,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
119.261646435,2,0,0,8.87361633333333,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
668.255549626,2,0,0,8.6298858,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
657.607239372,1,0,0,8.96579725,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
352.537254335,2,13,0,9.05318612,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
220.047272691,2,6,0,8.926586325,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
396.096810798,5,1,0,8.64544675,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0
455.498383928,4,18,0,8.75214192631579,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
24.0827483734,1,0,0,8.4247055,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
214.899847277,5,50,0,9.03984275714286,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
194.44229906,1,0,0,7.1845017,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
112.853547738,2,0,0,8.50091816666667,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
175.271566,3,0,0,8.8323175,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
34.2389358953,72,27,0,9.39408648877552,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
190.892012916,12,15,0,9.287287634375,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
26.6548054064,1,0,0,9.1321945,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
1823.63412474,1,0,0,6.76193235,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
129.663516032,2,0,0,9.17528266666667,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
2535.47449898,14,3,0,8.79733070689655,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
416.265845345,24,5,0,9.19390645555556,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1
1051.85244777,60,6,0,8.17784206764706,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
1051.85244777,11,12,0,9.33330317647059,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
147.48914791,12,10,0,8.88700816875,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1
24.4623003174,22,10,0,8.75438470666667,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1
1281.95378704,54,9,0,9.22267171111111,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
40.169659858,1,0,0,9.12979125,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
365.899962016,8,1,0,10.0964565625,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0
870.402033197,4,11,0,8.81889114285715,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1
1762.52087143,1,0,0,7.75193,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
116.344209876,2,2,0,7.36000384,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
88.4932026568,1,0,0,12.578644,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1
741.515108547,3,0,0,8.83770146,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
648.274921808,1,0,0,8.6413805,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1
423.083920504,3,9,0,8.8338714,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
27.1265774843,11,6,0,8.70912074117647,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
175.423987987,1,0,0,8.658142,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
207.953333734,3,20,0,8.84767916666667,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
362.648211376,4,36,0,9.86428315555556,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0
481.550323233,7,60,0,8.17971982352941,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
41.6443495102,26,14,0,8.51675121621622,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
283.495737054,4,0,0,8.82892105,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
59.1510742014,1,0,0,8.7898175,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
680.198150804,2,0,0,8.8182068,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
393.505835343,1,0,0,8.8963625,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
255.425357209,1,0,0,8.36724075,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
156.713354703,2,9,0,9.29910057142857,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
493.827852069,2,9,0,9.25242963333333,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
